epoch,loss_train,u_err,v_err,p_err
20,3.215547561645508,1.2058874368667603,0.6245428323745728,0.9814510345458984
40,2.829878807067871,1.1195363998413086,0.5504668951034546,0.9471750855445862
60,2.404301404953003,1.0117496252059937,0.48536166548728943,0.9266701340675354
80,1.9387376308441162,0.8897936940193176,0.4201624095439911,0.9086557626724243
100,1.5256409645080566,0.801842987537384,0.35328322649002075,0.8838707208633423
120,1.2960431575775146,0.8025920391082764,0.292825847864151,0.8457302451133728
140,1.225294828414917,0.8300822973251343,0.25576093792915344,0.8110727667808533
160,1.1932910680770874,0.829215407371521,0.24242039024829865,0.8154775500297546
180,1.1723785400390625,0.8248476982116699,0.23655599355697632,0.8280394673347473
200,1.157292366027832,0.8253013491630554,0.2328886240720749,0.8383031487464905
220,1.1459215879440308,0.8265144228935242,0.230721578001976,0.8446027636528015
240,1.1370607614517212,0.827041506767273,0.2295679748058319,0.847341775894165
260,1.129820466041565,0.8273410797119141,0.22904251515865326,0.8474563360214233
280,1.1235404014587402,0.8274328112602234,0.22888506948947906,0.8457038998603821
300,1.1177252531051636,0.8271394371986389,0.2289402037858963,0.8427329659461975
320,1.1120089292526245,0.8264347314834595,0.22910624742507935,0.8390763998031616
340,1.106131911277771,0.8253471851348877,0.22931057214736938,0.8352087736129761
360,1.0999236106872559,0.8239007592201233,0.22949519753456116,0.8316389322280884
380,1.0932800769805908,0.8221104741096497,0.2296089082956314,0.8288517594337463
400,1.086133599281311,0.819969654083252,0.2296184003353119,0.8270447850227356
420,1.0784292221069336,0.817455530166626,0.2295261025428772,0.8260053992271423
440,1.0701156854629517,0.8145472407341003,0.22936421632766724,0.8253765106201172
460,1.0611494779586792,0.811229944229126,0.22916819155216217,0.824904203414917
480,1.051504135131836,0.8075004816055298,0.22896598279476166,0.8244272470474243
500,1.0411816835403442,0.8033803105354309,0.22877898812294006,0.8238626718521118
520,1.03022038936615,0.7989240288734436,0.22862090170383453,0.8231998085975647
540,1.0186997652053833,0.794226884841919,0.22849810123443604,0.8224710822105408
560,1.0067447423934937,0.7894309163093567,0.22841212153434753,0.8217262625694275
580,0.994534432888031,0.784726619720459,0.22836360335350037,0.8210130929946899
600,0.9823125600814819,0.780347466468811,0.22835801541805267,0.8203567266464233
620,0.9703927040100098,0.7765539884567261,0.22840893268585205,0.8197459578514099
640,0.9591497182846069,0.7736014723777771,0.2285359799861908,0.8191332221031189
660,0.9489847421646118,0.7716889381408691,0.2287551909685135,0.818449854850769
680,0.9402587413787842,0.77089923620224,0.22906354069709778,0.8176369667053223
700,0.9331987500190735,0.7711507081985474,0.2294248342514038,0.8166748285293579
720,0.9278157949447632,0.7721922993659973,0.22976785898208618,0.8155854344367981
740,0.9238958358764648,0.7736565470695496,0.2300071120262146,0.8144168257713318
760,0.9210841059684753,0.7751622200012207,0.2300817221403122,0.8132438659667969
780,0.9190107583999634,0.7764211297035217,0.22999267280101776,0.8121666312217712
800,0.917363166809082,0.7772960066795349,0.22980725765228271,0.8112329244613647
820,0.9159043431282043,0.7777860760688782,0.22960039973258972,0.8103713393211365
840,0.9144771695137024,0.7779630422592163,0.22937741875648499,0.8094639182090759
860,0.9129804968833923,0.7779134511947632,0.22909684479236603,0.8084169626235962
880,0.9113345742225647,0.7777141332626343,0.22873380780220032,0.8071450591087341
900,0.9094566702842712,0.77742600440979,0.22827467322349548,0.8055422902107239
920,0.9072506427764893,0.777092695236206,0.2277049869298935,0.8034811019897461
940,0.9046047925949097,0.7767419219017029,0.22702562808990479,0.800844132900238
960,0.9014049768447876,0.7763857841491699,0.2262778878211975,0.7976076602935791
980,0.8975735902786255,0.776022732257843,0.22555816173553467,0.7939285635948181
1000,0.8931682109832764,0.7756490111351013,0.2249840945005417,0.790076732635498
