epoch,loss_train,u_err,v_err,p_err
100,1.2029391527175903,0.830117404460907,0.22236712276935577,0.9197513461112976
200,0.9168688654899597,0.6779597401618958,0.24768775701522827,0.8813692927360535
300,0.5593616962432861,0.48263421654701233,0.24478748440742493,0.8862892985343933
400,0.4082639217376709,0.4689668118953705,0.22919821739196777,0.8738306164741516
500,0.35160794854164124,0.5084406137466431,0.21552248299121857,0.7918473482131958
600,0.3261401355266571,0.5066490173339844,0.20859850943088531,0.7310063242912292
700,0.3211790919303894,0.5055453181266785,0.20340783894062042,0.6816585659980774
800,0.30642518401145935,0.4995880722999573,0.19759589433670044,0.6254303455352783
900,0.30297020077705383,0.50296950340271,0.1945430040359497,0.5946949124336243
1000,0.2876102328300476,0.5075080990791321,0.18903689086437225,0.5398851037025452
1100,0.2716085612773895,0.49530744552612305,0.1801706850528717,0.48719602823257446
1200,0.26279768347740173,0.49258944392204285,0.17337654531002045,0.44629085063934326
1300,0.25869518518447876,0.48382270336151123,0.16988308727741241,0.4263865351676941
1400,0.2566244304180145,0.48936599493026733,0.16527853906154633,0.4024999439716339
1500,0.2389959990978241,0.48933061957359314,0.1513252854347229,0.37328892946243286
1600,0.2316492646932602,0.49714815616607666,0.1492612063884735,0.41894659399986267
1700,0.22032557427883148,0.5369445085525513,0.1474144607782364,0.4819970726966858
1800,0.2220923900604248,0.5259864926338196,0.14624625444412231,0.4598061442375183
1900,0.222759410738945,0.5447378158569336,0.1447104662656784,0.47302064299583435
2000,0.20552416145801544,0.5396230816841125,0.14829102158546448,0.472415030002594
2100,0.20143595337867737,0.5460489988327026,0.14855273067951202,0.487837016582489
2200,0.19393528997898102,0.5538198351860046,0.1483612060546875,0.5026754140853882
2300,0.19123272597789764,0.5602954626083374,0.14918161928653717,0.5273623466491699
2400,0.19769078493118286,0.5771753191947937,0.15426209568977356,0.5493478775024414
2500,0.1939677596092224,0.5710007548332214,0.15367767214775085,0.5404069423675537
2600,0.2002643495798111,0.5610082149505615,0.14986641705036163,0.5321527123451233
2700,0.18396678566932678,0.5625835061073303,0.15272293984889984,0.5472416877746582
2800,0.18403832614421844,0.5607797503471375,0.14771157503128052,0.5635565519332886
2900,0.22436867654323578,0.5500261783599854,0.14985612034797668,0.5389932990074158
3000,0.19282154738903046,0.5402699112892151,0.15336668491363525,0.517591655254364
3100,0.18811827898025513,0.5482772588729858,0.15334771573543549,0.5352315902709961
3200,0.18925002217292786,0.550308346748352,0.1518094539642334,0.539176344871521
3300,0.18995444476604462,0.5507035255432129,0.1510465294122696,0.5432735681533813
