epoch,loss_train,u_err,v_err,p_err
10,3.0397517681121826,1.3935211896896362,0.5744566321372986,1.1724705696105957
20,2.884202003479004,1.3821181058883667,0.5680612921714783,1.1705855131149292
30,2.7627367973327637,1.3704745769500732,0.5641655921936035,1.1708080768585205
40,2.6643941402435303,1.357466697692871,0.5614089965820312,1.1729307174682617
50,2.5806431770324707,1.342522382736206,0.5579624772071838,1.1757103204727173
60,2.5040295124053955,1.3254280090332031,0.5523887872695923,1.1779029369354248
70,2.426255702972412,1.3051871061325073,0.5436450242996216,1.1792908906936646
80,2.3439643383026123,1.2808878421783447,0.5327253937721252,1.180045485496521
90,2.25160551071167,1.251296043395996,0.521033525466919,1.1810213327407837
100,2.1472113132476807,1.215958595275879,0.5089682340621948,1.1832752227783203
