epoch,loss_train,u_err,v_err,p_err
100,1.1409900188446045,0.8712154626846313,0.23076887428760529,0.8393772840499878
200,1.1057721376419067,0.9065561890602112,0.23700657486915588,0.7820318937301636
300,1.0971657037734985,0.9088765978813171,0.24119670689105988,0.7484829425811768
400,1.0924090147018433,0.9091068506240845,0.2422025203704834,0.7390061020851135
500,1.088713526725769,0.9088661670684814,0.2420947104692459,0.7368668913841248
600,1.0853734016418457,0.9088808298110962,0.24182921648025513,0.7357842922210693
700,1.0819388628005981,0.9090202450752258,0.24138633906841278,0.7356559634208679
800,1.0778207778930664,0.9089025855064392,0.24072441458702087,0.7365264892578125
900,1.0720374584197998,0.9077999591827393,0.23987586796283722,0.7380547523498535
1000,1.0628060102462769,0.9044155478477478,0.23898954689502716,0.739912748336792
