epoch,loss_train,u_err,v_err,p_err
20,3.851078748703003,1.2045549154281616,0.3016641438007355,0.9509632587432861
40,3.4196789264678955,1.1213864088058472,0.2596502900123596,0.9414158463478088
60,3.0494027137756348,1.022591233253479,0.23834574222564697,0.9450951218605042
80,2.7434394359588623,0.9175499677658081,0.23219051957130432,0.9507481455802917
100,2.5282962322235107,0.8327441215515137,0.2336110919713974,0.9590927362442017
120,2.394030809402466,0.78559809923172,0.23682910203933716,0.971189022064209
140,2.313892126083374,0.7637492418289185,0.2352244257926941,0.9853765368461609
160,2.270289421081543,0.7565885186195374,0.23179009556770325,0.9908939599990845
180,2.2434237003326416,0.7595890760421753,0.22783906757831573,0.9864662289619446
200,2.2279138565063477,0.7686659097671509,0.22482773661613464,0.9801275134086609
220,2.2179574966430664,0.780656635761261,0.22293497622013092,0.9748528003692627
240,2.212385416030884,0.792981743812561,0.22169479727745056,0.970697820186615
260,2.2050111293792725,0.8040955662727356,0.2208414077758789,0.9671863913536072
280,2.198719024658203,0.8138977885246277,0.22041064500808716,0.9641650915145874
300,2.191641330718994,0.8215409517288208,0.22027696669101715,0.9614743590354919
320,2.1837172508239746,0.826958417892456,0.2203463762998581,0.9590597748756409
340,2.1730282306671143,0.8305948376655579,0.2204272449016571,0.9564762115478516
360,2.161776065826416,0.8329321146011353,0.22047804296016693,0.9539340734481812
380,2.1476876735687256,0.8334884643554688,0.22058312594890594,0.9516668915748596
400,2.131171941757202,0.8321232795715332,0.22077596187591553,0.9494928121566772
420,2.108610153198242,0.8287125825881958,0.22098201513290405,0.9474338889122009
440,2.0804617404937744,0.822751522064209,0.22084923088550568,0.9455292820930481
460,2.0445170402526855,0.8138962388038635,0.22054407000541687,0.9435324668884277
480,2.002535820007324,0.8018795847892761,0.22050705552101135,0.9415006637573242
500,1.9527504444122314,0.7863684892654419,0.22076717019081116,0.9393184781074524
520,1.8968334197998047,0.7677561640739441,0.22130724787712097,0.9370484352111816
540,1.83536696434021,0.745793879032135,0.22187305986881256,0.9344482421875
560,1.7676204442977905,0.7209044098854065,0.22245363891124725,0.9314861297607422
580,1.6955676078796387,0.6938585638999939,0.22316862642765045,0.9281889796257019
600,1.6216899156570435,0.6651594638824463,0.2240869700908661,0.9240290522575378
620,1.5463916063308716,0.6356991529464722,0.22524961829185486,0.9189010262489319
640,1.471459984779358,0.6060371994972229,0.22653809189796448,0.9131219387054443
660,1.3985329866409302,0.5772074460983276,0.22763259708881378,0.9067058563232422
680,1.326941967010498,0.5498712062835693,0.22835253179073334,0.8999230861663818
700,1.2594233751296997,0.524807870388031,0.22881101071834564,0.8928869366645813
720,1.1976568698883057,0.5023307800292969,0.22930753231048584,0.8865325450897217
740,1.1356604099273682,0.4807018041610718,0.2294129580259323,0.8806816935539246
760,1.0821508169174194,0.46441778540611267,0.22901639342308044,0.8775213956832886
780,1.0335886478424072,0.45140600204467773,0.22907035052776337,0.8746339678764343
800,0.9915484189987183,0.4419403076171875,0.2292795181274414,0.8739001750946045
820,0.953583836555481,0.4359751343727112,0.22929145395755768,0.8739463686943054
840,0.920552134513855,0.43299004435539246,0.22932621836662292,0.8742989897727966
860,0.8925983905792236,0.4324703514575958,0.2293606698513031,0.8749310374259949
880,0.867685079574585,0.43370071053504944,0.22942201793193817,0.8753834366798401
900,0.845172107219696,0.4361638128757477,0.22932948172092438,0.8746218085289001
920,0.8274796009063721,0.43980872631073,0.2290704846382141,0.8748793005943298
