epoch,loss_train,u_err,v_err,p_err
20,1.144219160079956,0.9455448985099792,0.22253131866455078,0.8079264163970947
40,1.1014089584350586,0.8825127482414246,0.22470054030418396,0.8134292960166931
60,1.0850363969802856,0.9595776796340942,0.22899042069911957,0.8318811655044556
80,1.0756559371948242,0.9242401123046875,0.22792646288871765,0.7971929907798767
100,1.0702263116836548,0.9228103756904602,0.23070038855075836,0.7872454524040222
120,1.064985752105713,0.9217526316642761,0.2317381501197815,0.779687762260437
140,1.0582749843597412,0.9162198901176453,0.2325630933046341,0.7769084572792053
160,1.0462535619735718,0.9053066968917847,0.23334839940071106,0.7746952772140503
180,1.0175529718399048,0.8776394128799438,0.2346063107252121,0.7725968956947327
200,0.9577866792678833,0.8134658932685852,0.23162104189395905,0.7831810712814331
220,0.906118631362915,0.7699901461601257,0.22722066938877106,0.8172466158866882
240,0.8610901236534119,0.7479296326637268,0.23409786820411682,0.7809008359909058
260,0.821954607963562,0.7273086905479431,0.23460134863853455,0.7644290328025818
280,0.7905700206756592,0.7135414481163025,0.22935083508491516,0.7643288969993591
300,0.7664502859115601,0.7037600874900818,0.22372539341449738,0.7767844796180725
320,0.7476075291633606,0.6963961124420166,0.22037912905216217,0.7837038636207581
340,0.7314940094947815,0.6909127235412598,0.21938250958919525,0.7821130156517029
360,0.7173408269882202,0.6867213845252991,0.22148236632347107,0.7771140933036804
380,0.7001664638519287,0.6790680289268494,0.21811725199222565,0.7765838503837585
400,0.6736064553260803,0.6594776511192322,0.21317188441753387,0.7803791761398315
420,0.6339411735534668,0.6157263517379761,0.20645016431808472,0.7827330231666565
440,0.551054060459137,0.5415510535240173,0.20046432316303253,0.7621949315071106
460,0.4543834626674652,0.45431333780288696,0.1877226084470749,0.7224713563919067
480,0.3606911897659302,0.37475907802581787,0.16841959953308105,0.6636014580726624
500,0.2817017436027527,0.29312261939048767,0.14588110148906708,0.5858060717582703
520,0.21202565729618073,0.22937382757663727,0.1309337019920349,0.48735669255256653
540,0.17534290254116058,0.19663859903812408,0.12283100932836533,0.4071255326271057
560,0.13951073586940765,0.17111290991306305,0.11042319238185883,0.33701759576797485
580,0.11636878550052643,0.1590147763490677,0.10062238574028015,0.28044363856315613
600,0.10526324063539505,0.1511116623878479,0.09275702387094498,0.24829129874706268
620,0.08913002163171768,0.14789825677871704,0.0906396359205246,0.21422185003757477
640,0.07950453460216522,0.14649273455142975,0.0848669558763504,0.18934185802936554
660,0.07161416858434677,0.14550302922725677,0.08005616813898087,0.17255356907844543
680,0.06499378383159637,0.14436492323875427,0.07639627158641815,0.16002807021141052
700,0.08122707158327103,0.13763417303562164,0.07581153512001038,0.15496377646923065
720,0.057303283363580704,0.14144712686538696,0.07017043977975845,0.14480526745319366
740,0.05203501135110855,0.14150314033031464,0.06849369406700134,0.14057950675487518
760,0.04808250069618225,0.14136745035648346,0.06583552807569504,0.13732096552848816
780,0.057264551520347595,0.1404460221529007,0.06789922714233398,0.130426287651062
800,0.046381592750549316,0.13829180598258972,0.06262514740228653,0.1299000233411789
820,0.04021945223212242,0.1387823075056076,0.05959715321660042,0.13066911697387695
840,0.04710419103503227,0.13379395008087158,0.05753142759203911,0.12658439576625824
860,0.03935745358467102,0.13480237126350403,0.05603359639644623,0.1241549402475357
880,0.0343460887670517,0.13402357697486877,0.054899461567401886,0.12456566095352173
900,0.032465867698192596,0.13347262144088745,0.053371503949165344,0.12446652352809906
920,0.030747370794415474,0.13207560777664185,0.052106887102127075,0.12310310453176498
940,0.029206398874521255,0.1303825080394745,0.05088355764746666,0.12148361653089523
960,0.04276434704661369,0.1244758889079094,0.049088284373283386,0.11342069506645203
980,0.02669963426887989,0.1257404386997223,0.049121756106615067,0.11659606546163559
1000,0.025400357320904732,0.12473967671394348,0.04724494740366936,0.11646442115306854
